Variable,Tipo,Nulos,%_Nulos,Unicos,min,max,mean
periodo,int64,0,0.0,14,20191.0,20252.0,20221.54
estu_consecutivo,object,0,0.0,4541656,,,
estu_estudiante,object,0,0.0,2,,,
estu_tipodocumento,object,2,0.0,19,,,
cole_area_ubicacion,object,643758,14.17,3,,,
cole_bilingue,object,1366056,30.08,2,,,
cole_calendario,object,643847,14.18,3,,,
cole_caracter,object,815525,17.96,4,,,
cole_cod_dane_establecimiento,float64,643758,14.17,11756,1.0,568432001300.0,207275941888.07
cole_cod_dane_sede,float64,643758,14.17,13395,1.0,854874000001.0,207830694091.38
cole_cod_depto_ubicacion,float64,643758,14.17,33,5.0,99.0,32.92
cole_cod_mcpio_ubicacion,float64,643758,14.17,1118,5001.0,99773.0,33162.7
cole_codigo_icfes,float64,643847,14.18,19142,59.0,822940.0,294579.46
cole_depto_ubicacion,object,643758,14.17,35,,,
cole_genero,object,643847,14.18,3,,,
cole_jornada,object,645826,14.22,6,,,
cole_mcpio_ubicacion,object,643759,14.17,1051,,,
cole_naturaleza,object,643758,14.17,2,,,
cole_nombre_establecimiento,object,643847,14.18,11097,,,
cole_nombre_sede,object,643848,14.18,14065,,,
cole_sede_principal,object,643848,14.18,5,,,
desemp_c_naturales,float64,1,0.0,4,1.0,4.0,2.1
desemp_ingles,object,31848,0.7,5,,,
desemp_lectura_critica,float64,1,0.0,4,1.0,4.0,2.67
desemp_matematicas,float64,1,0.0,4,1.0,4.0,2.47
desemp_sociales_ciudadanas,float64,1,0.0,4,1.0,4.0,2.02
estu_agregado,object,8,0.0,2,,,
estu_cod_depto_presentacion,float64,1598,0.04,33,5.0,99.0,33.51
estu_cod_mcpio_presentacion,float64,1598,0.04,562,5001.0,99773.0,33721.06
estu_cod_reside_depto,float64,8380,0.18,35,0.0,99999.0,40.4
estu_cod_reside_mcpio,float64,8380,0.18,1129,9.0,99999.0,33759.68
estu_dedicacioninternet,object,933673,20.56,5,,,
estu_dedicacionlecturadiaria,object,926975,20.41,5,,,
estu_depto_presentacion,object,1598,0.04,33,,,
estu_depto_reside,object,8380,0.18,39,,,
estu_discapacidad,object,1,0.0,2,,,
estu_etnia,object,4322164,95.17,152,,,
estu_fechanacimiento,object,6,0.0,22116,,,
estu_generacione,object,2653522,58.43,4,,,
estu_genero,object,326,0.01,2,,,
estu_grado,float64,634560,13.97,7,10.0,20234.0,12.81
estu_horassemanatrabaja,object,848689,18.69,5,,,
estu_inse_individual,float64,860085,18.94,2641843,11.35,88.37,51.04
estu_mcpio_presentacion,object,1598,0.04,544,,,
estu_mcpio_reside,object,8380,0.18,1043,,,
estu_nacionalidad,object,3,0.0,118,,,
estu_nse_establecimiento,float64,646377,14.23,4,1.0,4.0,2.44
estu_nse_individual,float64,860085,18.94,4,1.0,4.0,2.42
estu_pais_reside,object,4,0.0,102,,,
estu_privado_libertad,object,92,0.0,2,,,
estu_repite,float64,329,0.01,227635,0.0,278859.0,13639.57
estu_tieneetnia,object,1821642,40.11,3,,,
estu_tiporemuneracion,object,855121,18.83,4,,,
fami_comecarnepescadohuevo,object,931224,20.5,4,,,
fami_comecerealfrutoslegumbre,object,944922,20.81,4,,,
fami_comelechederivados,object,950961,20.94,4,,,
fami_cuartoshogar,object,838185,18.46,6,,,
fami_educacionmadre,object,909042,20.02,12,,,
fami_educacionpadre,object,907694,19.99,12,,,
fami_estratovivienda,object,816746,17.98,7,,,
fami_numlibros,object,990887,21.82,4,,,
fami_personashogar,object,830569,18.29,5,,,
fami_situacioneconomica,object,860132,18.94,3,,,
fami_tieneautomovil,object,855799,18.84,2,,,
fami_tienecomputador,object,841169,18.52,2,,,
fami_tieneconsolavideojuegos,object,855750,18.84,2,,,
fami_tienehornomicroogas,object,848097,18.67,2,,,
fami_tieneinternet,object,916873,20.19,2,,,
fami_tienelavadora,object,841821,18.54,2,,,
fami_tienemotocicleta,object,849499,18.7,2,,,
fami_tieneserviciotv,object,928353,20.44,2,,,
fami_trabajolabormadre,object,840440,18.51,13,,,
fami_trabajolaborpadre,object,845026,18.61,13,,,
percentil_c_naturales,float64,1,0.0,100,1.0,100.0,49.07
percentil_global,float64,34805,0.77,100,1.0,100.0,48.77
percentil_ingles,float64,31848,0.7,100,1.0,100.0,48.0
percentil_lectura_critica,float64,1,0.0,100,1.0,100.0,48.66
percentil_matematicas,float64,1,0.0,100,1.0,100.0,48.65
percentil_sociales_ciudadanas,float64,1,0.0,100,1.0,100.0,49.39
punt_c_naturales,float64,1,0.0,68,0.0,100.0,49.53
punt_global,float64,1,0.0,485,0.0,500.0,252.42
punt_ingles,float64,37215,0.82,75,0.0,100.0,50.25
punt_lectura_critica,float64,1,0.0,70,0.0,100.0,53.08
punt_matematicas,float64,1,0.0,79,0.0,100.0,51.23
punt_sociales_ciudadanas,float64,1,0.0,76,0.0,100.0,48.2
estu_grupoetnia,object,2694583,59.33,6,,,
fami_numhermanos,object,4056730,89.32,5,,,
estu_comunidadcampesina,object,4056730,89.32,2,,,
estu_numhijos,object,4056730,89.32,5,,,
estu_horastrabnoremu,object,4063975,89.48,5,,,
fami_posicionhermanos,object,4162135,91.64,3,,,
estu_tiempocasaacole,object,4056765,89.32,4,,,
estu_desplazacolegio,object,4056765,89.32,4,,,
